mch_0,q_0,e_q,p_bns,p_bhns,p_bbh,p_gap,p_ns
0.500000,1.76000,4.00000,0.613147,0.299635,0.00000,0.0813713,0.994154
0.500000,1.62000,1.00000,0.902600,0.0145575,0.00000,0.0828409,0.999999
0.500000,1.62000,1.25000,0.850245,0.0404230,0.00000,0.109330,0.999999
0.500000,1.62000,1.50000,0.806397,0.0728417,0.00000,0.120760,1.00000
0.500000,1.62000,1.75000,0.770724,0.106169,0.00000,0.123105,0.999999
0.500000,1.62000,2.00000,0.741706,0.137570,0.00000,0.120721,0.999999
0.500000,1.62000,2.25000,0.717883,0.166005,0.00000,0.116107,0.999997
0.500000,1.62000,2.50000,0.698091,0.191296,0.00000,0.110593,0.999984
0.500000,1.62000,2.75000,0.681447,0.213604,0.00000,0.104866,0.999920
0.500000,1.62000,3.00000,0.667282,0.233174,0.00000,0.0992674,0.999724
0.500000,1.62000,3.25000,0.655073,0.250230,0.00000,0.0939589,0.999263
0.500000,1.62000,3.50000,0.644412,0.264953,0.00000,0.0890048,0.998370
0.500000,1.62000,3.75000,0.634944,0.277492,0.00000,0.0844204,0.996858
0.500000,1.62000,4.00000,0.626377,0.287988,0.00000,0.0801959,0.994561
0.500000,1.48000,1.00000,0.924555,0.0101200,0.00000,0.0653220,0.999999
0.500000,1.48000,1.25000,0.874810,0.0316010,0.00000,0.0935866,0.999999
0.500000,1.48000,1.50000,0.830968,0.0607792,0.00000,0.108251,1.00000
0.500000,1.48000,1.75000,0.794238,0.0922296,0.00000,0.113531,1.00000
0.500000,1.48000,2.00000,0.763806,0.122761,0.00000,0.113430,0.999999
0.500000,1.48000,2.25000,0.738515,0.150968,0.00000,0.110511,0.999998
0.500000,1.48000,2.50000,0.717325,0.176414,0.00000,0.106245,0.999987
0.500000,1.48000,2.75000,0.699391,0.199099,0.00000,0.101440,0.999934
0.500000,1.48000,3.00000,0.684056,0.219174,0.00000,0.0965318,0.999762
0.500000,1.48000,3.25000,0.670792,0.236812,0.00000,0.0917456,0.999350
0.500000,1.48000,3.50000,0.659169,0.252163,0.00000,0.0871925,0.998526
0.500000,1.48000,3.75000,0.648822,0.265360,0.00000,0.0829200,0.997105
0.500000,1.48000,4.00000,0.639446,0.276527,0.00000,0.0789412,0.994914
0.500000,1.34000,1.00000,0.942522,0.00691184,0.00000,0.0505650,0.999999
0.500000,1.34000,1.25000,0.896412,0.0244341,0.00000,0.0791508,0.999999
0.500000,1.34000,1.50000,0.853439,0.0503384,0.00000,0.0962203,1.00000
0.500000,1.34000,1.75000,0.816256,0.0796931,0.00000,0.104048,0.999999
0.500000,1.34000,2.00000,0.784822,0.109108,0.00000,0.106066,0.999999
0.500000,1.34000,2.25000,0.758346,0.136867,0.00000,0.104784,0.999997
0.500000,1.34000,2.50000,0.735948,0.162286,0.00000,0.101751,0.999989
0.500000,1.34000,2.75000,0.716867,0.185202,0.00000,0.0978748,0.999944
0.500000,1.34000,3.00000,0.700460,0.205665,0.00000,0.0936689,0.999795
0.500000,1.34000,3.25000,0.686211,0.223790,0.00000,0.0894195,0.999422
0.500000,1.34000,3.50000,0.673683,0.239693,0.00000,0.0852813,0.998658
0.500000,1.34000,3.75000,0.662500,0.253482,0.00000,0.0813334,0.997316
0.500000,1.34000,4.00000,0.652339,0.265265,0.00000,0.0776113,0.995216
0.500000,1.20000,1.00000,0.956935,0.00463739,0.00000,0.0384243,0.999999
0.500000,1.20000,1.25000,0.915173,0.0186845,0.00000,0.0661400,1.00000
0.500000,1.20000,1.50000,0.873813,0.0413795,0.00000,0.0848059,1.00000
0.500000,1.20000,1.75000,0.836746,0.0684905,0.00000,0.0947614,0.999999
0.500000,1.20000,2.00000,0.804710,0.0965815,0.00000,0.0987041,0.999998
0.500000,1.20000,2.25000,0.777329,0.123693,0.00000,0.0989741,0.999998
0.500000,1.20000,2.50000,0.753928,0.148916,0.00000,0.0971459,0.999991
0.500000,1.20000,2.75000,0.733836,0.171923,0.00000,0.0941925,0.999953
0.500000,1.20000,3.00000,0.716465,0.192661,0.00000,0.0906945,0.999821
0.500000,1.20000,3.25000,0.701308,0.211179,0.00000,0.0869918,0.999481
0.500000,1.20000,3.50000,0.687931,0.227554,0.00000,0.0832794,0.998767
0.500000,1.20000,3.75000,0.675953,0.241870,0.00000,0.0796665,0.997490
0.500000,1.20000,4.00000,0.665041,0.254216,0.00000,0.0762108,0.995468
0.500000,1.06000,1.00000,0.968278,0.00305610,0.00000,0.0286629,0.999999
0.500000,1.06000,1.25000,0.931264,0.0141292,0.00000,0.0546056,1.00000
0.500000,1.06000,1.50000,0.892123,0.0337587,0.00000,0.0741155,1.00000
0.500000,1.06000,1.75000,0.855690,0.0585436,0.00000,0.0857648,0.999999
0.500000,1.06000,2.00000,0.823440,0.0851452,0.00000,0.0914111,0.999998
0.500000,1.06000,2.25000,0.795432,0.111434,0.00000,0.0931302,0.999999
0.500000,1.06000,2.50000,0.771227,0.136302,0.00000,0.0924617,0.999992
0.500000,1.06000,2.75000,0.750274,0.159267,0.00000,0.0904162,0.999960
0.500000,1.06000,3.00000,0.732047,0.180168,0.00000,0.0876251,0.999842
0.500000,1.06000,3.25000,0.716066,0.198987,0.00000,0.0844741,0.999527
0.500000,1.06000,3.50000,0.701899,0.215759,0.00000,0.0811952,0.998853
0.500000,1.06000,3.75000,0.689169,0.230537,0.00000,0.0779257,0.997632
0.500000,1.06000,4.00000,0.677537,0.243390,0.00000,0.0747444,0.995673
0.500000,0.920000,1.00000,0.977031,0.00197803,0.00000,0.0209886,1.00000
0.500000,0.920000,1.25000,0.944889,0.0105651,0.00000,0.0445425,0.999999
0.500000,0.920000,1.50000,0.908438,0.0273325,0.00000,0.0642267,0.999999
0.500000,0.920000,1.75000,0.873094,0.0497681,0.00000,0.0771374,1.00000
0.500000,0.920000,2.00000,0.840991,0.0747551,0.00000,0.0842500,0.999999
0.500000,0.920000,2.25000,0.812630,0.100070,0.00000,0.0872971,0.999999
0.500000,0.920000,2.50000,0.787822,0.124440,0.00000,0.0877308,0.999993
0.500000,0.920000,2.75000,0.766157,0.147236,0.00000,0.0865686,0.999966
0.500000,0.920000,3.00000,0.747183,0.168194,0.00000,0.0844766,0.999858
0.500000,0.920000,3.25000,0.730460,0.187225,0.00000,0.0818781,0.999563
0.500000,0.920000,3.50000,0.715564,0.204317,0.00000,0.0790373,0.998921
0.500000,0.920000,3.75000,0.702130,0.219492,0.00000,0.0761172,0.997740
0.500000,0.920000,4.00000,0.689815,0.232797,0.00000,0.0732168,0.995830
0.500000,0.780000,1.00000,0.983654,0.00125726,0.00000,0.0150863,0.999999
0.500000,0.780000,1.25000,0.956289,0.00781115,0.00000,0.0358982,1.00000
