,mch_0,q_0,e_q,p_bns,p_bhns,p_gap,p_bbh,p_ns
273,0.5,1.0599999999999996,1.0,1.0,0.0,0.0,0.0,1.0
274,0.5,1.0599999999999996,1.25,1.0,0.0,0.0,0.0,1.0
275,0.5,1.0599999999999996,1.5,1.0,0.0,0.0,0.0,1.0
276,0.5,1.0599999999999996,1.75,1.0,0.0,0.0,0.0,1.0
277,0.5,1.0599999999999996,2.0,1.0,0.0,0.0,0.0,1.0
278,0.5,1.0599999999999996,2.25,1.0,0.0,0.0,0.0,1.0
279,0.5,1.0599999999999996,2.5,1.0,0.0,0.0,0.0,1.0
280,0.5,1.0599999999999996,2.75,1.0,0.0,0.0,0.0,1.0
281,0.5,1.0599999999999996,3.0,1.0,0.0,0.0,0.0,1.0
282,0.5,1.0599999999999996,3.25,1.0,0.0,0.0,0.0,1.0
283,0.5,1.0599999999999996,3.5,1.0,0.0,0.0,0.0,1.0
284,0.5,1.0599999999999996,3.75,1.0,0.0,0.0,0.0,1.0
285,0.5,1.0599999999999996,4.0,1.0,0.0,0.0,0.0,1.0
286,0.5,0.9199999999999999,1.0,1.0,0.0,0.0,0.0,1.0
287,0.5,0.9199999999999999,1.25,1.0,0.0,0.0,0.0,1.0
288,0.5,0.9199999999999999,1.5,1.0,0.0,0.0,0.0,1.0
289,0.5,0.9199999999999999,1.75,1.0,0.0,0.0,0.0,1.0
290,0.5,0.9199999999999999,2.0,1.0,0.0,0.0,0.0,1.0
291,0.5,0.9199999999999999,2.25,1.0,0.0,0.0,0.0,1.0
292,0.5,0.9199999999999999,2.5,1.0,0.0,0.0,0.0,1.0
293,0.5,0.9199999999999999,2.75,1.0,0.0,0.0,0.0,1.0
294,0.5,0.9199999999999999,3.0,1.0,0.0,0.0,0.0,1.0
295,0.5,0.9199999999999999,3.25,1.0,0.0,0.0,0.0,1.0
296,0.5,0.9199999999999999,3.5,1.0,0.0,0.0,0.0,1.0
297,0.5,0.9199999999999999,3.75,1.0,0.0,0.0,0.0,1.0
298,0.5,0.9199999999999999,4.0,1.0,0.0,0.0,0.0,1.0
299,0.5,0.7799999999999998,1.0,1.0,0.0,0.0,0.0,1.0
300,0.5,0.7799999999999998,1.25,1.0,0.0,0.0,0.0,1.0
301,0.5,0.7799999999999998,1.5,1.0,0.0,0.0,0.0,1.0
302,0.5,0.7799999999999998,1.75,1.0,0.0,0.0,0.0,1.0
303,0.5,0.7799999999999998,2.0,1.0,0.0,0.0,0.0,1.0
304,0.5,0.7799999999999998,2.25,1.0,0.0,0.0,0.0,1.0
305,0.5,0.7799999999999998,2.5,1.0,0.0,0.0,0.0,1.0
306,0.5,0.7799999999999998,2.75,1.0,0.0,0.0,0.0,1.0
307,0.5,0.7799999999999998,3.0,1.0,0.0,0.0,0.0,1.0
308,0.5,0.7799999999999998,3.25,1.0,0.0,0.0,0.0,1.0
309,0.5,0.7799999999999998,3.5,1.0,0.0,0.0,0.0,1.0
310,0.5,0.7799999999999998,3.75,1.0,0.0,0.0,0.0,1.0
311,0.5,0.7799999999999998,4.0,1.0,0.0,0.0,0.0,1.0
312,0.5,0.6399999999999997,1.0,1.0,0.0,0.0,0.0,1.0
313,0.5,0.6399999999999997,1.25,1.0,0.0,0.0,0.0,1.0
314,0.5,0.6399999999999997,1.5,1.0,0.0,0.0,0.0,1.0
315,0.5,0.6399999999999997,1.75,1.0,0.0,0.0,0.0,1.0
316,0.5,0.6399999999999997,2.0,1.0,0.0,0.0,0.0,1.0
317,0.5,0.6399999999999997,2.25,1.0,0.0,0.0,0.0,1.0
318,0.5,0.6399999999999997,2.5,1.0,0.0,0.0,0.0,1.0
319,0.5,0.6399999999999997,2.75,1.0,0.0,0.0,0.0,1.0
320,0.5,0.6399999999999997,3.0,1.0,0.0,0.0,0.0,1.0
321,0.5,0.6399999999999997,3.25,1.0,0.0,0.0,0.0,1.0
322,0.5,0.6399999999999997,3.5,1.0,0.0,0.0,0.0,1.0
323,0.5,0.6399999999999997,3.75,1.0,0.0,0.0,0.0,1.0
324,0.5,0.6399999999999997,4.0,1.0,0.0,0.0,0.0,1.0
325,0.5,0.49999999999999956,1.0,1.0,0.0,0.0,0.0,1.0
326,0.5,0.49999999999999956,1.25,1.0,0.0,0.0,0.0,1.0
327,0.5,0.49999999999999956,1.5,1.0,0.0,0.0,0.0,1.0
328,0.5,0.49999999999999956,1.75,1.0,0.0,0.0,0.0,1.0
329,0.5,0.49999999999999956,2.0,1.0,0.0,0.0,0.0,1.0
330,0.5,0.49999999999999956,2.25,1.0,0.0,0.0,0.0,1.0
331,0.5,0.49999999999999956,2.5,1.0,0.0,0.0,0.0,1.0
332,0.5,0.49999999999999956,2.75,1.0,0.0,0.0,0.0,1.0
333,0.5,0.49999999999999956,3.0,1.0,0.0,0.0,0.0,1.0
334,0.5,0.49999999999999956,3.25,1.0,0.0,0.0,0.0,1.0
335,0.5,0.49999999999999956,3.5,1.0,0.0,0.0,0.0,1.0
336,0.5,0.49999999999999956,3.75,1.0,0.0,0.0,0.0,1.0
337,0.5,0.49999999999999956,4.0,1.0,0.0,0.0,0.0,1.0
338,0.5,0.35999999999999943,1.0,1.0,0.0,0.0,0.0,1.0
339,0.5,0.35999999999999943,1.25,1.0,0.0,0.0,0.0,1.0
340,0.5,0.35999999999999943,1.5,1.0,0.0,0.0,0.0,1.0
341,0.5,0.35999999999999943,1.75,1.0,0.0,0.0,0.0,1.0
342,0.5,0.35999999999999943,2.0,1.0,0.0,0.0,0.0,1.0
343,0.5,0.35999999999999943,2.25,1.0,0.0,0.0,0.0,1.0
344,0.5,0.35999999999999943,2.5,1.0,0.0,0.0,0.0,1.0
345,0.5,0.35999999999999943,2.75,1.0,0.0,0.0,0.0,1.0
346,0.5,0.35999999999999943,3.0,1.0,0.0,0.0,0.0,1.0
347,0.5,0.35999999999999943,3.25,1.0,0.0,0.0,0.0,1.0
348,0.5,0.35999999999999943,3.5,1.0,0.0,0.0,0.0,1.0
349,0.5,0.35999999999999943,3.75,1.0,0.0,0.0,0.0,1.0
350,0.5,0.35999999999999943,4.0,1.0,0.0,0.0,0.0,1.0
351,0.5,0.21999999999999975,1.0,1.0,0.0,0.0,0.0,1.0
352,0.5,0.21999999999999975,1.25,1.0,0.0,0.0,0.0,1.0
353,0.5,0.21999999999999975,1.5,1.0,0.0,0.0,0.0,1.0
354,0.5,0.21999999999999975,1.75,1.0,0.0,0.0,0.0,1.0
355,0.5,0.21999999999999975,2.0,1.0,0.0,0.0,0.0,1.0
356,0.5,0.21999999999999975,2.25,1.0,0.0,0.0,0.0,1.0
357,0.5,0.21999999999999975,2.5,1.0,0.0,0.0,0.0,1.0
358,0.5,0.21999999999999975,2.75,1.0,0.0,0.0,0.0,1.0
359,0.5,0.21999999999999975,3.0,1.0,0.0,0.0,0.0,1.0
360,0.5,0.21999999999999975,3.25,1.0,0.0,0.0,0.0,1.0
361,0.5,0.21999999999999975,3.5,1.0,0.0,0.0,0.0,1.0
362,0.5,0.21999999999999975,3.75,1.0,0.0,0.0,0.0,1.0
